blockchain,token_pair,pool_address,unique_key,uni_portion,total_volume,uni_volume
ethereum,FTM-WETH,0x3b685307c8611afb2a9e83ebc8743dc20480716e,0x4e15361fd6b4bb609fa63c81a2be19d873717870-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.7925008651637409,754532.262761121,597967.4710321435
ethereum,TUA-WETH,0xe7f40eead9ce7e61c9cd34136a1bd3d3c9e35dda,0x791a5c2261823dbf69b27b63e851b7745532cfa2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,18857.158372067282,18857.158372067282
ethereum,Based-WETH,0x7d6c3cf697235c10019beeddf936f484d94c86f1,0x69cbb36ee3e786ffa763bc695e7d6f28ae473eca-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1781.785017336043,1781.785017336043
ethereum,STOS-USDT,0x70885952f174fb5396deebb66ce3b4b2adfcef8a,0x08c32b0726c5684024ea6e141c50ade9690bbdcc-0xdac17f958d2ee523a2206206994597c13d831ec7,1,528035.2618037323,528035.2618037323
ethereum,The Blockchain Canon-WETH,0x962dac16f261195cff8447de9de8383bdc850c71,0x4b5b1f8cd3b063092b4e54fd4b5613f8b18a6a08-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,33821.93942729255,33821.93942729255
ethereum,STBU-USDT,0x390a4d096ba2cc450e73b3113f562be949127ceb,0xa6422e3e219ee6d4c1b18895275fe43556fd50ed-0xdac17f958d2ee523a2206206994597c13d831ec7,1,109965.95582089544,109965.95582089544
ethereum,MOONDOGE-WETH,0x7c2f3ff81ddd20dbb9fc15ce3b74672987b09dc4,0x677dfb54592e40d569b31be959c2d83ae18d9ab7-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,21718.95109208888,21718.95109208888
ethereum,Doge2-WETH,0xa7eb1febe7b157323d301eb067be9ebf75751dd8,0x696b88c525f89549e7fe71c65f7b7304af9d6b9f-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,20576.40280381525,20576.40280381525
ethereum,Balvi-WETH,0x6a83e1d1d4a57954548658fa67b0b9d81f11a86e,0x6940b9fd8a10d4b5f0816f6add62437d4f78a46c-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,100193.4968425564,100193.4968425564
ethereum,STRK-XPR,0xe22e2dfb63d620dd5fb4b883354d0cd14bdc2e37,0xca14007eff0db1f8135f4c25b34de49ab0d42766-0xd7efb00d12c2c13131fd319336fdf952525da2af,1,3677.515508791684,3677.515508791684
ethereum,USDT-XAUM,0x3b27144eca83157e13332a75d45f0205c39c6698,0x2103e845c5e135493bb6c2a4f0b8651956ea8682-0xdac17f958d2ee523a2206206994597c13d831ec7,1,287758.9727002826,287758.9727002826
ethereum,PAS-WETH,0xc04d960757b1444bfca6dea218864d1322a33cf7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xe25db4baa49ea3b8627986ffc22c7bd5e0c88d49,1,32461.412813278275,32461.412813278275
ethereum,RXS-USDT,0x557520519449baa1e2d4d4ad4ca0a23dc3fd6ec1,0x9eaebd7e73d97e78c77fab743e6ffa1b550e224c-0xdac17f958d2ee523a2206206994597c13d831ec7,1,108558.44282446307,108558.44282446307
ethereum,CHR-WETH,0x1cc05337fe9bca4fc5d569cfd56df31ceabc2bcb,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999973089971105,63586.86244958664,63586.69133715605
